original_text,decoded_text
"자일리톨,","자일리톨,"
"(100%),","(100%),"
보관방법,보관방법
입력,입력
이상,이상
자세한,자세한
기능식품,기능식품
일어날,일어날
섭취,섭취
"(주엽동,","(주엽동,"
보관하십시오.,보관하십시오.
2자리],2자리]
:,:
30정(27g),30정(27g)
상,상
대한,대한
비타민,비타민
"필요,","필요,"
(주)휴럼/서울시,(주)휴럼/서울시
건강,건강
"L.salivarius,","L.salivarius,"
3),3)
[EPA,[EPA
의해,의해
"변성전분),","변성전분),"
비타민B2,비타민B2
분,분
제품은,제품은
1일,1일
포함)를,포함)를
번호,번호
라즈베리,라즈베리
항응고제,항응고제
영등포구,영등포구
[아연],[아연]
판매원,판매원
도움을,도움을
BYO,BYO
[유통전문판매원],[유통전문판매원]
생성에,생성에
※,※
함유,함유
제,제
법을,법을
섭취량,섭취량
의해,의해
(60g),(60g)
신지동고,신지동고
89.6mg,89.6mg
8자리,8자리
별도표시일,별도표시일
:,:
6g,6g
프리바이오틱스,프리바이오틱스
"미국,","미국,"
구입처,구입처
않는,않는
"mg(33%),","mg(33%),"
않도록,않도록
나타낼,나타낼
질병의,질병의
제조과정,제조과정
건강기능식품,건강기능식품
연],연]
오,오
·,·
피하여,피하여
상담실로,상담실로
0kcal,0kcal
100%,100%
정직한,정직한
"홍차,","홍차,"
"(100%),","(100%),"
지방,지방
"B.breve,","B.breve,"
열량,열량
"달걀,","달걀,"
114%,114%
"아니며,","아니며,"
2.4mg,2.4mg
(년/월/일,(년/월/일
"키위향키베이스,","키위향키베이스,"
질의,질의
·,·
"분말,","분말,"
15%,15%
Traceability,Traceability
유익균,유익균
수,수
반품,반품
105367,105367
바랍니다.,바랍니다.
"밀,","밀,"
선택하세요.,선택하세요.
포장재질,포장재질
[고객상담실],[고객상담실]
위해!!,위해!!
:,:
Vitamin,Vitamin
내용물이,내용물이
늘한,늘한
매스틱,매스틱
"새우,","새우,"
오손된,오손된
중쇄중성,중쇄중성
인해,인해
필요,필요
성상,성상
※,※
1g,1g
기능정보],기능정보]
"(캐나다산),","(캐나다산),"
illus,illus
미강주정추출물,미강주정추출물
수,수
늘리자!,늘리자!
비타민B12,비타민B12
이,이
홍합,홍합
기능식품,기능식품
의약품이,의약품이
셀렌,셀렌
(500mg,(500mg
1일,1일
정상적인,정상적인
섭취하십시오.,섭취하십시오.
비타민D,비타민D
도움을,도움을
충,충
1회,1회
제품,제품
개봉,개봉
필요,필요
어린이의,어린이의
피해,피해
건조한,건조한
보관방법,보관방법
혈행,혈행
"고등어,","고등어,"
1일,1일
함께,함께
도움을,도움을
의사와,의사와
정상,정상
본,본
및,및
파인애플농축액,파인애플농축액
본,본
번호,번호
스테아린산마그네슘,스테아린산마그네슘
확인한,확인한
홍삼근,홍삼근
thermophi-,thermophi-
본,본
아닌,아닌
열량,열량
건강한,건강한
반응에,반응에
보관,보관
STORE,STORE
나트륨,나트륨
C,C
"대두,","대두,"
여,여
소비자,소비자
663번길,663번길
취량,취량
"대두,","대두,"
점막을,점막을
C,C
마십,마십
"미드,","미드,"
필요,필요
"0mg(0%),","0mg(0%),"
기능,기능
건강기능식품의,건강기능식품의
골다공증,골다공증
질병,질병
제조번호,제조번호
EX,EX
비타민B2,비타민B2
불가합니다,불가합니다
본,본
58-22,58-22
을,을
"비타민C,","비타민C,"
오손된,오손된
:,:
성동구,성동구
및,및
피부,피부
"천연향료(레몬향),","천연향료(레몬향),"
줄,줄
:,:
함유,함유
제품은,제품은
정상적인,정상적인
전재로,전재로
H21086301,H21086301
LABO·H,LABO·H
"피향(합성향료),","피향(합성향료),"
곳에,곳에
피부상태,피부상태
1포(1.5g)씩,1포(1.5g)씩
세,세
습도,습도
캐나다를,캐나다를
미,미
IN,IN
원활한,원활한
"보관하시고,","보관하시고,"
및,및
강남구,강남구
제품은,제품은
EXP,EXP
스트레스가,스트레스가
"0.75mg(50%),","0.75mg(50%),"
수유부는,수유부는
"조개류(굴,","조개류(굴,"
까지,까지
※,※
담실로,담실로
·,·
·,·
"백설탕,","백설탕,"
()안의,()안의
기억력,기억력
개선,개선
따라,따라
"헛개나무,","헛개나무,"
-,-
식물부원료,식물부원료
및,및
상사례,상사례
없이,없이
8,8
·,·
비율(%)은,비율(%)은
수분,수분
않는,않는
제조시설에서,제조시설에서
밀봉하여,밀봉하여
우천면,우천면
반품,반품
한,한
에는,에는
"유당(뉴질랜드,","유당(뉴질랜드,"
있습니다.,있습니다.
"폴리염화비닐,","폴리염화비닐,"
보관,보관
"(0%),","(0%),"
호,호
도움을,도움을
가능성이,가능성이
발생될,발생될
[원료명,[원료명
미만,미만
닿지,닿지
기능정보,기능정보
개봉,개봉
수신자부담,수신자부담
:,:
"밀,","밀,"
섭취량,섭취량
※,※
·,·
"32,","32,"
기능식품,기능식품
"0086,","0086,"
알루미늄호일(AL-FOIL),알루미늄호일(AL-FOIL)
형성에,형성에
위한,위한
"토마토,","토마토,"
"함유음료(커피,","함유음료(커피,"
개봉,개봉
어린,어린
섭취를,섭취를
[내포장재질],[내포장재질]
상담하십시오.,상담하십시오.
"병(HDPE),","병(HDPE),"
먹으면,먹으면
섭취하,섭취하
섭취량,섭취량
4.,4.
같은,같은
있음,있음
분리배출하여,분리배출하여
보관,보관
·,·
PP,PP
(자,(자
유익균,유익균
"0.1026%,","0.1026%,"
/,/
충분한,충분한
각리,각리
에너지,에너지
·,·
제품을,제품을
도움을,도움을
있으니,있으니
단백질,단백질
2022.10.22,2022.10.22
:,:
식물성분,식물성분
요,요
1일,1일
전,전
[비타민B2],[비타민B2]
"분량(54g),","분량(54g),"
"쇠고기,","쇠고기,"
"미,","미,"
탄수화물이,탄수화물이
:,:
함량],함량]
"오징어,","오징어,"
"A,","A,"
<D21082,<D21082
적고,적고
14개입],14개입]
황색으로,황색으로
업소명,업소명
1일,1일
HARVEST,HARVEST
Mini,Mini
관리,관리
15kcal,15kcal
직사광선과,직사광선과
는,는
스타터,스타터
도움을,도움을
침전이,침전이
L-카르니틴,L-카르니틴
있습니다.,있습니다.
국번없이,국번없이
교환처,교환처
차단하여,차단하여
1일,1일
유통기한(하단표기일까지),유통기한(하단표기일까지)
"오일,","오일,"
식품이력,식품이력
흡습되지,흡습되지
365071,365071
및,및
수,수
원료나,원료나
잣을,잣을
31261,31261
영양성분,영양성분
GMP,GMP
치,치
정보를,정보를
안심하고,안심하고
손에,손에
비칠,비칠
수,수
041102,041102
2캡슐),2캡슐)
오렌지,오렌지
"복,","복,"
·,·
※,※
+,+
5%,5%
섭취방법,섭취방법
보호하는데,보호하는데
상담실로,상담실로
"0g(0%),","0g(0%),"
"어린이,","어린이,"
있습니다.,있습니다.
판매원,판매원
+,+
있음,있음
"비타민E),","비타민E),"
있으므로,있으므로
7가지,7가지
[제조원],[제조원]
POST,POST
11mg,11mg
:,:
"셀렌,","셀렌,"
전문가와,전문가와
"카라기난,","카라기난,"
섭취량,섭취량
종근당건강(주),종근당건강(주)
KHSA,KHSA
"고등어,","고등어,"
변질품은,변질품은
"황산망간,","황산망간,"
"필요,","필요,"
"대두,","대두,"
1일,1일
"대두,","대두,"
·,·
INNER,INNER
캐나다에서도,캐나다에서도
"밀,","밀,"
:,:
내용량,내용량
COLLAGEN,COLLAGEN
1일,1일
8,8
주의하십시오.,주의하십시오.
특정,특정
원료를,원료를
혈소판,혈소판
신고는,신고는
있는,있는
츄어블,츄어블
인이,인이
Based,Based
※,※
수,수
기능정보,기능정보
탄수화물,탄수화물
여,여
/,/
50+,50+
가족친화,가족친화
전에,전에
제지방량,제지방량
성인,성인
있습니다.,있습니다.
포스트바이오틱스,포스트바이오틱스
기술력을,기술력을
/,/
"Laboratories,","Laboratories,"
기능성,기능성
"덱스트린,","덱스트린,"
나이아신],나이아신]
"특이체질,","특이체질,"
"밀크씨슬추출물,","밀크씨슬추출물,"
"bifidum,","bifidum,"
확인하신,확인하신
식품의약품안전처,식품의약품안전처
햇빛에,햇빛에
·,·
"기,","기,"
고,고
"메밀,","메밀,"
"(비오틴,","(비오틴,"
르기,르기
유해산소로부터,유해산소로부터
8,8
심하고,심하고
남극크릴오일,남극크릴오일
함께,함께
오송생명로,오송생명로
있는,있는
대한,대한
"메밀,","메밀,"
2023.10.06,2023.10.06
:,:
쟁해결,쟁해결
것,것
TrueLAC,TrueLAC
충청북도,충청북도
서늘,서늘
·,·
카라기,카라기
뼈의,뼈의
"비타민B1염산염,","비타민B1염산염,"
1일,1일
·,·
8,8
내부,내부
구입처,구입처
손에,손에
후,후
피로도,피로도
·,·
줄,줄
"비타민C,","비타민C,"
8,8
