original_text,decoded_text
"21ug(70%),","21ug(70%),"
이력추적,이적
"필요,","요,"
피하여,하
아닙니다.,아니다.
있는,있는
"헝가리,","가리,"
수,수
"있고,","있고,"
LABO·H,LABO·H
유통전문,유전문
치커리뿌,리
캡슐기제:,기제:
6kcal,6kcal
산,
※,
영양성분기준치,성기
·,·
따라,라
함께,
"지고기,","지고기,"
적고,적고
"구연산,","구연,"
및,
경기도,경기도
214556,214556
하십시오.,하시오.
폴리에틸렌(PE),리에(PE)
금천구,천구
"스,","스,"
고객상담실로,고상로
에서,에서
"대두,","대,"
또는,는
간,
확인하고,인하고
+,+
"제조라인,","제라인,"
Prebiotics,Prebiotics
"응고제,","고제,"
기능식품,기식
및,
6mg,6mg
사용하여,사하
기능성을,기성을
"0mg(0%),","0mg(0%),"
·,·
제조원,제원
"밀크씨슬추출물,",","
에서,에서
정상,정상
세르비아,비아
유통,유
및,
[비오틴],[비오]
있습니다.,있니다.
"변질,",","
1회,1
D,D
건강에,에
확인한,인한
기능,기
의약품,의
곤약감자추출물,자
드시기,드시기
신고는,신고는
"제(비타민D3,","제(비민D3,"
실온보관,보
체질이신분은,이신은
"비술나무,","비나,"
기능성,기성
과민반응을,과민을
+,+
수,수
"아라비아검,","아라비아,"
건강기능식품,기식
"구아검),","구아),"
일상의,일상의
"복숭아,","아,"
2023.05.12,2023.05.12
섭취시,시
(0%),(0%)
주의하십시오.,주의하시오.
※,
유해균,유해
바랍니다.,니다.
담양군,
293-20,293-20
식약처,식
구입시,구시
E,E
성인,성인
"혼합제제분말,","제제,"
성분을,성을
과,과
수,수
어린,어
보관방법,보방
충분한,한
본,
Xpur,Xpur
"알류(가금류),","(가),"
없이,이
헤마토코쿠,마토
영양성분,성
물과,과
한,한
건조한,한
것,것
|,|
셀렌,
석,
해조분말,해
알티지,지
히비스커스추출,비스스
60캡슐(60g),60(60g)
※,
항균,
경과한,경과한
(섭취분량,(
시,시
·,·
피하,하
열량,
2023/09/19,2023/09/19
곳에,에
내포장재질,내장재
직,
0g,0g
섭취하,하
음주는,주는
드시지,드시지
피하여,하
"DL-사과산,","DL-사과,"
8,8
3포(60mL),3(60mL)
제품은,제은
"acidophilus,","acidophilus,"
"돼지고기,","지고기,"
중단하고,중단하고
【내포장재질】,내장재
충분한,한
2개(5g),2개(5g)
Bifidoba,Bifidoba
및,
에스토니아,에스토니아
제조번호,제
"확인하시고,","인하시고,"
시,시
"자당,","자,"
눈,
섭취,
및,
"2회,","2,"
지도하십시오.,지도하시오.
210178,210178
비율임,비
"195,","195,"
함께,
244296,244296
"레시틴),","시),"
미나스,미나스
"CECT5716)),","CECT5716)),"
상담하십시오.,상하시오.
교환장소,교장소
받을,을
호모시스테인,시스인
프랑스산,스
·,·
비율,비
제품은,제은
열량,
있으므로,있으로
곳에,에
DHA,DHA
"(100%),","(100%),"
100%,100%
의해,의해
%영양성분기준치,%성기
뇌파,
올리브영,리
서늘한,서한
1일,1일
"타트체리농축액,","트리,"
섞어서,어서
완충비닐),비)
:,:
및,
분이라면,이라면
77g,77g
세포를,를
360번의,360의
:,:
확인하시기,인하시기
:,:
수,수
:,:
"포함),","),"
주의사항,주의사
*캡슐기제,*기제
섭취하지,하지
폴리에틸렌(PE),리에(PE)
"땅콩,",","
있음,있
517,517
추정사례,정사
잣을,을
단백질,단
"전분,","전,"
대사와,대사와
SAFE,SAFE
-,-
홍미삼,미
주시기,주시기
·,·
100억,100
수,수
"아가베시럽,","아가시,"
본,
대한,대한
1544-6335,1544-6335
분쟁,
바랍니다.,니다.
"비타민B1염산염,","비민B1,"
필요,요
·,·
100%),100%)
수준을,수을
809371,809371
원료나,원나
함량(1포,(1
※,
도움을,도을
독일,일
보관하십시오.,보하시오.
철의,의
수,수
제조원,제원
섭취,
상담하십시오.,상하시오.
2%,2%
손에,에
·,·
맥스엔비티(주),스비(주)
정품입니다.,정니다.
되었을,었을
강원도,원도
있으며,있으
1577-2488,1577-2488
유통전문,유전문
개발원,개원
MINERAL,MINERAL
교환,교
중단하고,중단하고
열량,
1일,1일
[원료명,[원
섭취량,
제품명,제
바랍니다.,니다.
벚꽃길,
"글리세린,","리,"
정상적인,정상적인
Traceability,Traceability
BOTO,BOTO
"우유,","우유,"
오리진,오리진
효소혼합분말(덱,소(
비:너지,비:지
일부지역에서만,일부지에서만
비야대정로,비야대정로
또는,는
"아니며,","아니,"
진,진
이,이
마시기,마시기
"구아검),","구아),"
셀레늄,
캐나다,나다
1577-2488,1577-2488
잣,
색이,이
"168(가락동,","168(가동,"
"새우,","우,"
628호,628
신고는,신고는
"메밀,",","
폴리염화비닐,리화비
섭취하십시오.,하시오.
후,
다른,다
아연,아연
및,
닿지,지
건강기능식품,기식
십시오.,시오.
탄수화물,수화
"수유부,","수유부,"
수분,수
당,
총,
시오.,시오.
비타민C,비민C
음성군,성
(주)노바렉스,(주)스
※,
발생,생
1),1)
금천구,천구
이상사례,이상사
용정길,정
2022.06.18,2022.06.18
잘못된,
및,
지방,지방
논현로,현로
섭취하십시오.,하시오.
의하시기,의하시기
※,
및,
7.5g,7.5g
물과,과
제품으로,제으로
개봉한,개한
"수분,","수,"
*2018,*2018
기능식품,기식
질병의,의
고형분,고
jw,jw
기한,기한
정보를,정보를
피해,해
고시,고시
있는,있는
있거나,있나
같은,은
탄수화물,수화
기준치에,기에
이상사례,이상사
+,+
줄,
증식,식
에,에
음용수와,수와
대한,대한
수,수
EVERYTIME,EVERYTIME
에너지,에지
비타민B1,비민B1
내,내
이용에,이에
당,
있으므로,있으로
"[비오틴,","[비오,"
섭취하십시오.,하시오.
혈액응고에,고에
탄수화물과,수화과
같은,은
"수분,","수,"
골다공증,다공
민A,민A
유통기한,유기한
중인,중인
전문기업,전문기업
:,:
전문가와,전문가와
809240,809240
*,*
섭취,
대한,대한
"써모필러스,","스,"
1일,1일
반응이,이
또는,는
기능식품,기식
주의사항,주의사
피부엔,부
망막,
곳에,에
배양시,시
비율,비
2001,2001
주,주
GMP,GMP
시기,시기
【살균제품】,제
0g,0g
11mg,11mg
자외선에,자선에
물과,과
비타민B6,비민B6
:,:
수,수
4g씩,4g
체질이신,이신
따라,라
50㎍,50μg
"분말덱스트린,","스트,"
있는,있는
유지,유지
가능성이,가성이
원료나,원나
체질이신,이신
·,·
있습니다.,있니다.
(270g,(270g
{카민제제(덱스트,{민제제(스트
및,
보관방법,보방
"덱스트린,","스트,"
29-8,29-8
나트륨,나트
위한,위한
[원료명,[원
입을,을
위험,위
이상사례,이상사
/,/
근육,
대사에,대사에
:,:
주의사항],주의사]
유통,유
1회,1
비타민K,비민K
및,
[유통기한],[유기한]
유통전문판매원,유전문원
한미,한미
+,+
줄,
함께,
8,8
확인한,인한
질병의,의
아라,아라
1577-2488,1577-2488
잣을,을
"(2,200mg)","(2,200mg)"
교환해,교해
0mg,0mg
+,+
"B2,","B2,"
ILDONG,ILDONG
호두를,를
중,중
건강기능식품,기식
1일,1일
지키는,지는
고온다습한,고다한
X,X
어린이의,어이의
이력추적,이적
있으나,있으나
20mg,20mg
건강기능식품의,기식의
"혼합추출물분말,",","
습니다.,니다.
위해,위해
당류,
함량,
2%,2%
수준을,수을
아르헨티,아
이상사례,이상사
유통하십시오.,유하시오.
0g,0g
콩을,을
"복숭아,","아,"
기한,기한
"고등어,","고어,"
:,:
고시,고시
(주)유한건강생활,(주)유한생
설명서,서
1회,1
제조번호(4자리),제(4자리)
같은,은
시오.,시오.
체내,내
혈소판,소
위원회,위원
그대로,그대로
성분을,성을
받을,을
알레르기,기
1577-2488,1577-2488
제조하고,제하고
소비자상담실,소비자상
구입처,구
환불받을,을
8,8
내용량당,내
고온다습한,고다한
롯데쇼핑(주)/,(주)/
290mg,290mg
경우에는,경우에는
"정제어유,","정제어유,"
FOR,FOR
상담하십시오.,상하시오.
루테인,인
남부순환로,남부로
/,/
:,:
및,
■,■
설명서,서
"조개류(굴,","개(,"
기능식품,기식
(경상북도,(경상도
서울,서
전,전
피하여,하
1),1)
US,US
정보,정보
+ ,+
U.S.A.,U.S.A.
사용한,사한
신,신
이용되는데,이는
/,/
[아연],[아연]
단백질,단
적고,적고
경기도,경기도
이상증상이,이상상이
복용,
닿지,지
이천시,이천시
8.52mg(100,8.52mg(100
치료를,를
없이,이
발생,생
VITAMIN,VITAMIN
보관하십시오.,보하시오.
알레르기,기
및,
/,/
건강,
보관하십시오.,보하시오.
[프로바이오틱스],[로이오스]
수,수
을,을
청주시,주시
Traceability,Traceability
■,■
"요,","요,"
0kcal,0kcal
유해산소로부터,유해소로부
도움을,도을
플라보노이드,라보이드
1일,1일
:,:
[소비자상담실],[소비자상]
"동3가,","동3가,"
"오징어,","오어,"
탄수화물,수화
수,수
원료,원
폴리에틸렌,리에
(주)한미양행,(주)한미행
"트리아세틴,","트리아,"
수유부는,수유부는
※,
주의사항],주의사]
"산화아연,","화아연,"
"필리핀,","리,"
소비자상담실,소비자상
제조시설에서,제시에서
손에,에
D,D
상담실],상]
가와,가와
:,:
D],D]
고온다습한,고다한
Collagen,Collagen
2021236A,2021236A
도움을,도을
X,X
(%)영양성분,(%)성
X,X
식품용,식
바이오밸리,이오리
주의사항],주의사]
·,·
영양성분,성
비타민,비민
"이소말토올리고당,","이소토리고,"
(2,(2
남양주시,남주시
필,
충분한,한
용기,기
십시오.,시오.
제품은,제은
(주)서흥,(주)서
X,X
유형],유]
도움을,도을
약사,사
제조,제
및,
이력추적,이적
공정,공정
1회,1
정상으로,정상으로
스피루리나,스리나
"1회,","1,"
마리골드꽃에서,마리드에서
감소,소
·,·
"아황산류,","아,"
사용한,사한
연골건강에,연에
줌,
C,C
개인의,개인의
원료나,원나
1.2mg,1.2mg
제품과,제과
영양성분기준치에,성기에
헤스페리딘,스리
유통기한중,유기한중
함량,
8자리,8자리
"고기,","고기,"
거나,나
과다,과다
제조하고,제하고
시,시
고객센터,고
대두,대
40g,40g
730-20,730-20
0%,0%
따라,라
"합성향료,","성,"
"coagulans),","coagulans),"
이의,이의
발생,생
:,:
있으니,있으니
식물원료를,식원를
개인의,개인의
정상적인,정상적인
섭취,
-,-
필요,요
수,수
HEALTH,HEALTH
-,-
750mg,750mg
비타민D,비민D
상품바코드번호,상드
같은,은
내용물이,내이
는데,는
"아황산류,","아,"
생성에,생성에
1포,1
1577-2488,1577-2488
2개입),2개)
비율임,비
에너지,에지
비타민B2,비민B2
상담하십시오.,상하시오.
(주)휴온스내츄럴,(주)스내
를,를
오송읍,오
문의하여,문의하
기능정보,기정보
서울특별시,서시
분쟁해결,해
"조개류(굴,","개(,"
혈압,
"의거,","의,"
EPA와,EPA와
문,문
40mg,40mg
함께,
반품,
2층),2)
"스추출물,","스,"
건강기능식품,기식
"밀,",","
:,:
"밀,",","
이상,이상
물과,과
보호하는데,보하는
1일,1일
급,
별도,도
%,%
면역기능에,면기에
8,8
"50ug(167%),","50ug(167%),"
시,시
과민반응을,과민을
